Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred
Non-num,Non-num,up,up,6,6,no,low,,,,,,,,
Non-num,num,up,Non-mono,6,,no,high,,,,,,,,
Non-num,Non-num,up,up,10,2,no,high,,,,,,,,
num,no,up,,,,no,low,,,,,,,,
num,no,up,,,,no,high,,,,,,,,
Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
Non-num,no,up,,6,,no,high,,,,,,,,
Non-num,Non-num,up,down,6,3,no,high,,,,,,,,
Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
Non-num,Non-num,up,up,10,7,no,high,Non-num,Non-num,up,up,2,6,no,high
Non-num,Non-num,up,up,2,10,yes,high,,,,,,,,
Non-num,Non-num,up,down,2,0,yes,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,no,up,,6,,no,low,,,,,,,,
Non-num,no,down,,1,,no,high,,,,,,,,
Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
Non-num,no,down,,4,,no,high,,,,,,,,
Non-num,no,down,,4,,no,high,Non-num,num,up,up,6,,no,high
Non-num,num,up,down,10,4,no,high,,,,,,,,
Non-num,no,up,,10,,no,low,no,Non-num,,Non-mono,,1,no,low
Non-num,Non-num,down,Non-mono,4,1,no,low,no,num,,down,,,no,high
Non-num,no,down,,6,,no,high,,,,,,,,
num,no,up,,,,no,high,,,,,,,,
Non-num,num,down,Non-mono,6,,no,high,,,,,,,,
Non-num,no,down,,4,,no,low,,,,,,,,
Non-num,no,up,,10,,no,low,Non-num,Non-num,down,Non-mono,4,1,no,low
Non-num,no,down,,4,,no,low,,,,,,,,
Non-num,no,down,,0,,no,low,,,,,,,,
Non-num,no,up,,6,,no,low,,,,,,,,
Non-num,Non-num,Non-mono,down,4,0,yes,high,,,,,,,,
Non-num,num,down,down,0,2,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,num,up,up,6,,no,high,,,,,,,,
Non-num,num,Non-mono,Non-mono,4,,no,high,,,,,,,,
Non-num,num,Non-mono,Non-mono,4,,no,high,,,,,,,,
Non-num,num,Non-mono,down,6,,no,high,,,,,,,,
Non-num,num,up,up,6,,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,down,up,0,10,no,high,,,,,,,,
num,Non-num,Non-mono,up,,10,no,low,,,,,,,,
Non-num,Non-num,up,up,2,6,no,high,,,,,,,,
Non-num,Non-num,up,up,2,6,no,low,,,,,,,,
num,Non-num,Non-mono,up,,10,no,low,,,,,,,,
num,Non-num,down,up,,1,no,high,,,,,,,,
Non-num,Non-num,up,up,2,6,no,high,,,,,,,,
Non-num,Non-num,up,up,2,2,no,low,,,,,,,,
Non-num,Non-num,up,up,10,2,no,high,,,,,,,,
Non-num,Non-num,down,Non-mono,0,1,no,high,,,,,,,,
Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
Non-num,Non-num,up,up,10,3,no,low,num,Non-num,Non-mono,down,,0,yes,high
Non-num,num,down,Non-mono,3,,no,low,,,,,,,,
Non-num,no,up,,6,,no,high,,,,,,,,
Non-num,no,up,,7,,no,low,,,,,,,,
Non-num,no,up,,7,,no,high,,,,,,,,
Non-num,Non-num,down,up,0,3,no,high,,,,,,,,
Non-num,Non-num,up,up,6,3,no,high,,,,,,,,
Non-num,Non-num,up,up,10,7,no,low,,,,,,,,
Non-num,Non-num,up,up,10,7,no,high,,,,,,,,
Non-num,Non-num,up,up,6,3,no,low,,,,,,,,
Non-num,Non-num,up,up,6,7,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,num,up,down,2,,no,low,num,num,Non-mono,down,,,no,high
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,num,up,down,2,,no,high,,,,,,,,
,,,,,,,,,,,,,,,
num,num,up,down,,,no,high,,,,,,,,
num,num,Non-mono,up,,,no,high,,,,,,,,
num,Non-num,Non-mono,up,,,no,high,num,num,Non-mono,down,,,no,high
num,num,Non-mono,up,,,yes,high,Non-num,Non-num,up,up,2,10,no,high
num,num,Non-mono,Non-mono,,,no,high,num,num,up,Non-mono,,,no,high
num,num,Non-mono,down,,,no,high,num,num,Non-mono,down,,,no,high
num,num,Non-mono,down,,,no,high,,,,,,,,
num,num,Non-mono,up,,,no,high,,,,,,,,
num,no,Non-mono,,,,no,high,,,,,,,,
Non-num,num,up,up,10,,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,no,up,,10,,yes,high,,,,,,,,
Non-num,no,,,10,,no,low,,,,,,,,
Non-num,no,Non-mono,,9,,no,high,,,,,,,,
Non-num,no,up,,6,,no,high,Non-num,num,up,up,6,,no,high
Non-num,num,down,Non-mono,4,,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,Non-mono,Non-mono,9,9,no,high,,,,,,,,
Non-num,num,up,up,6,,no,high,,,,,,,,
Non-num,Non-num,down,down,4,0,yes,high,,,,,,,,
